Validating models...

0 errors found
April 03, 2014 - 23:08:03
Django version 1.6.2, using settings 'iD_django.settings'
Starting development server at http://0.0.0.0:8081/
Quit the server with CONTROL-C.
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-111.9891357421875,33.4039312002347,-111.983642578125,33.408516828002696 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.005615234375,33.39934533042094,-112.0001220703125,33.4039312002347 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.005615234375,33.4039312002347,-112.0001220703125,33.408516828002696 HTTP/1.1" 200 156
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-111.99462890625001,33.4039312002347,-111.9891357421875,33.408516828002696 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.0001220703125,33.4039312002347,-111.99462890625,33.408516828002696 HTTP/1.1" 200 156
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-111.983642578125,33.4039312002347,-111.97814941406251,33.408516828002696 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-111.983642578125,33.39934533042094,-111.97814941406251,33.4039312002347 HTTP/1.1" 200 158
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.005615234375,33.394759218577995,-112.0001220703125,33.39934533042094 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.0001220703125,33.394759218577995,-111.99462890625,33.39934533042094 HTTP/1.1" 200 157
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-112.0001220703125,33.39934533042094,-111.99462890625,33.4039312002347 HTTP/1.1" 200 1551
[03/Apr/2014 23:08:29] "GET /api/0.6/map?bbox=-111.9891357421875,33.39934533042094,-111.983642578125,33.4039312002347 HTTP/1.1" 200 1298
[03/Apr/2014 23:08:30] "GET /api/capabilities HTTP/1.1" 200 655
[03/Apr/2014 23:08:30] "GET /api/0.6/map?bbox=-111.99462890625001,33.394759218577995,-111.9891357421875,33.39934533042094 HTTP/1.1" 200 158
[03/Apr/2014 23:08:30] "GET /api/0.6/map?bbox=-111.9891357421875,33.394759218577995,-111.983642578125,33.39934533042094 HTTP/1.1" 200 158
[03/Apr/2014 23:08:30] "GET /api/0.6/map?bbox=-111.99462890625001,33.39934533042094,-111.9891357421875,33.4039312002347 HTTP/1.1" 200 2079
[03/Apr/2014 23:08:30] "GET /api/0.6/user/details HTTP/1.1" 404 3418
[03/Apr/2014 23:08:30] "GET /api/0.6/map?bbox=-111.983642578125,33.394759218577995,-111.97814941406251,33.39934533042094 HTTP/1.1" 200 158
[03/Apr/2014 23:08:58] "GET /static/css/img/cursor-select-line.png HTTP/1.1" 200 335
[03/Apr/2014 23:08:58] "GET /api/0.6/map?bbox=-111.9781494140625,33.4039312002347,-111.97265625,33.408516828002696 HTTP/1.1" 200 156
[03/Apr/2014 23:08:59] "GET /api/0.6/map?bbox=-111.9781494140625,33.39934533042094,-111.97265625,33.4039312002347 HTTP/1.1" 200 157
[03/Apr/2014 23:08:59] "GET /api/0.6/map?bbox=-111.9781494140625,33.394759218577995,-111.97265625,33.39934533042094 HTTP/1.1" 200 157
[03/Apr/2014 23:08:59] "GET /static/css/img/line-presets.png HTTP/1.1" 200 28843
[03/Apr/2014 23:09:13] "GET /api/capabilities HTTP/1.1" 200 655
[03/Apr/2014 23:09:29] "GET /api/0.6/user/details HTTP/1.1" 404 3418
[03/Apr/2014 23:09:30] "PUT /api/0.6/changeset/create HTTP/1.1" 200 1
GEOS_ERROR: IllegalArgumentException: Points of LinearRing do not form a closed linestring

Internal Server Error: /api/0.6/changeset/4/upload
Traceback (most recent call last):
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/core/handlers/base.py", line 114, in get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/views/decorators/csrf.py", line 57, in wrapped_view
    return view_func(*args, **kwargs)
  File "/var/iD_django/osm_api/views.py", line 209, in upload_change
    model_way.update_geom()
  File "/var/iD_django/osm_api/models.py", line 40, in update_geom
    poly = Polygon(tpl_coords)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/polygon.py", line 44, in __init__
    polygon = self._create_polygon(n_holes + 1, (ext_ring,) + init_holes)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/polygon.py", line 77, in _create_polygon
    rings.append(self._construct_ring(r))
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/polygon.py", line 102, in _construct_ring
    ring = LinearRing(param)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/linestring.py", line 67, in __init__
    super(LineString, self).__init__(self._init_func(cs.ptr), srid=srid)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/prototypes/threadsafe.py", line 49, in __call__
    return self.cfunc(self.thread_context.handle.ptr, *args)
  File "/srv/python-environments/id_django/lib/python2.6/site-packages/django/contrib/gis/geos/prototypes/errcheck.py", line 43, in check_geom
    raise GEOSException('Error encountered checking Geometry returned from GEOS C function "%s".' % func.__name__)
GEOSException: Error encountered checking Geometry returned from GEOS C function "GEOSGeom_createLinearRing_r".
[03/Apr/2014 23:09:31] "POST /api/0.6/changeset/4/upload HTTP/1.1" 500 105251
[03/Apr/2014 23:09:58] "GET /api/capabilities HTTP/1.1" 200 655
[03/Apr/2014 23:10:07] "GET /api/0.6/user/details HTTP/1.1" 404 3418
